Index,Periodos (s),Gravidade (m/s²),Média (g),Desvio P (g), Nº Dados
490,"2,94","9,911167361",,,
491,"3,05","9,209155195",,,
492,"2,86","10,4733931",,,
493,"2,99","9,58246174",,,
494,3,"9,518685133",,,
495,"2,97","9,711952998",,,
496,"3,01","9,455543118",,,
497,"2,89","10,257081",,,
498,3,"9,518685133",,,
499,"3,09","8,972273667",,,
500,"2,98","9,646881469",,,
501,"2,8","10,92706202",,,
502,"2,99","9,58246174",,,
503,"3,03","9,331129432",,,
504,3,"9,518685133",,,
505,"2,84","10,62142509",,,
